date,votes_d,votes_r,votes_i,returned_d,returned_r,returned_i,firewall_target
10/7/2024,100845,26148,10661,0.107,0.062,0.061,390000
10/8/2024,155931,43793,17642,0.163,0.102,0.1,390000
10/9/2024,188185,56791,22019,0.196,0.13,0.121,390000
10/10/2024,238877,76236,29102,0.246,0.171,0.156,390000
10/11/2024,285072,95666,35914,0.29,0.21,0.189,390000
10/12/2024,285072,95666,35914,0.29,0.21,0.189,390000
10/13/2024,285072,95666,35914,0.29,0.21,0.189,390000
10/14/2024,285072,95666,35914,0.29,0.21,0.189,390000
10/15/2024,358703,130076,47433,0.354,0.268,0.235,390000
10/16/2024,416239,158486,57000,0.406,0.318,0.276,390000
10/17/2024,450379,179208,62974,0.435,0.35,0.298,390000
10/18/2024,506320,212015,73469,0.484,0.404,0.341,390000
10/19/2024,506320,212015,73469,0.484,0.404,0.341,390000
10/20/2024,506320,212015,73469,0.484,0.404,0.341,390000
10/21/2024,580073,254424,87223,0.542,0.464,0.388,390000
10/22/2024,649060,300862,101733,0.601,0.536,0.445,390000
10/23/2024,684724,328074,110711,0.627,0.567,0.473,390000
10/24/2024,726619,360527,120917,0.656,0.603,0.502,390000
10/25/2024,763072,390878,130792,0.681,0.634,0.502,390000
10/26/2024,763072,390878,130792,0.681,0.634,0.502,390000
10/27/2024,763072,390878,130792,0.681,0.634,0.502,390000
10/28/2024,819112,438017,145778,0.703,0.659,0.548,390000
10/29/2024,849849,468067,155909,0.722,0.683,0.574,390000
10/30/2024,,,,,,,390000
10/31/2024,,,,,,,390000
11/1/2024,,,,,,,390000
11/2/2024,,,,,,,390000
11/3/2024,,,,,,,390000
11/4/2024,,,,,,,390000
